epoch,win_rate
1000,1.0000
1100,1.0000
1200,1.0000
1300,1.0000
1400,1.0000
1500,1.0000
1600,1.0000
1700,1.0000
1800,1.0000
1900,1.0000
2000,1.0000
2100,1.0000
2200,1.0000
2300,1.0000
2400,1.0000
2500,1.0000
2600,1.0000
2700,1.0000
2800,1.0000
2900,1.0000
3000,1.0000
2010,0.9667
2020,0.8667
2030,0.7667
2040,0.3667
2050,0.2667
5,0.2500
10,0.0000
15,0.0500
20,0.1000
25,0.1500
30,0.1000
35,0.2500
40,0.1500
45,0.2500
50,0.5000
55,0.4000
60,0.4000
65,0.4000
70,0.2500
75,0.4500
80,0.4000
85,0.4500
90,0.5000
95,0.3000
100,0.5000
105,0.3000
110,0.3500
115,0.3500
120,0.4000
125,0.3000
130,0.3000
135,0.3000
140,0.1500
145,0.3000
150,0.3500
155,0.3500
160,0.4000
165,0.2000
170,0.2000
